FID,ICEAREA,H,class_height,class_length
483,235.6011906,4.185137131,Bergy bit,Small
484,2175.830658,3.999266373,Bergy bit,Small
485,171.8908713,2.997196134,Bergy bit,Bergy bit
486,69.98140812,3.516794206,Bergy bit,Bergy bit
487,275.9607801,4.89404572,Bergy bit,Small
488,369.481703,4.270323305,Bergy bit,Small
489,727.3800426,4.670747919,Bergy bit,Small
490,725.3073894,4.752960158,Bergy bit,Small
491,56.9138763,3.00330429,Bergy bit,Bergy bit
492,429.8645695,3.432842066,Bergy bit,Small
493,1386.925491,4.514545519,Bergy bit,Small
494,75.55964196,3.050763668,Bergy bit,Bergy bit
495,102.0989925,3.135442575,Bergy bit,Bergy bit
496,142.1289089,3.678400538,Bergy bit,Bergy bit
497,1299.285198,4.750384645,Bergy bit,Small
498,157.8174512,3.636323083,Bergy bit,Bergy bit
499,119.589088,3.293515552,Bergy bit,Bergy bit
500,1310.794046,5.625366423,Small,Small
501,438.4930079,4.021959493,Bergy bit,Small
502,13315.81268,13.27178045,Small,Medium
503,81.90948498,3.58988543,Bergy bit,Bergy bit
504,31.32839024,3.108643749,Bergy bit,Bergy bit
505,122.1945338,3.736896186,Bergy bit,Bergy bit
506,1056.652779,4.8083083,Bergy bit,Small
507,55.14181864,3.619133857,Bergy bit,Bergy bit
508,2726.430845,6.174224129,Small,Small
509,1472.92634,3.699033787,Bergy bit,Small
510,4642.563196,6.752208521,Small,Medium
511,1749.115025,3.440456625,Bergy bit,Small
512,12576.57431,5.668728915,Small,Medium
513,169.5517313,3.544101891,Bergy bit,Bergy bit
514,337.9673997,3.47212373,Bergy bit,Small
515,661.3355581,3.571061354,Bergy bit,Small
516,77.45087552,2.831104667,Bergy bit,Bergy bit
517,46.68855488,2.914060433,Bergy bit,Bergy bit
518,6086.163796,3.744719294,Bergy bit,Medium
519,2111.687189,4.442105676,Bergy bit,Small
520,390.106923,3.120423333,Bergy bit,Small
521,116.8305645,3.023157183,Bergy bit,Bergy bit
522,72363.79377,28.87889154,Medium,Very large
523,2540.472468,4.19797218,Bergy bit,Small
524,7449.091668,7.969494444,Small,Medium
525,72.86666548,3.412421528,Bergy bit,Bergy bit
526,64.73169494,2.892685326,Bergy bit,Bergy bit
527,910.9830103,4.545661385,Bergy bit,Small
528,1189.995313,4.988432378,Bergy bit,Small
529,70.07772744,3.024940408,Bergy bit,Bergy bit
530,38.56833005,2.950833863,Bergy bit,Bergy bit
531,1512.78499,6.096189288,Small,Small
532,290.0877881,3.25991144,Bergy bit,Small
533,201.5962223,3.251081053,Bergy bit,Bergy bit
534,524.5110785,1.452912018,Bergy bit,Small
535,107806.1758,22.11892937,Medium,Very large
536,107.4021095,3.51755227,Bergy bit,Bergy bit
537,868.9659226,2.67469352,Bergy bit,Small
538,170.6845487,3.174010054,Bergy bit,Bergy bit
539,1277.933676,5.972430411,Small,Small
540,253.9198927,3.969722393,Bergy bit,Small
541,101.2841245,3.084214804,Bergy bit,Bergy bit
542,888.386703,5.027506628,Small,Small
543,1467.465188,4.393572636,Bergy bit,Small
544,3126.298535,7.381674014,Small,Small
545,78.76980221,3.677884753,Bergy bit,Bergy bit
546,134.4587419,4.381899754,Bergy bit,Bergy bit
547,111.2324058,3.257922277,Bergy bit,Bergy bit
548,495.5952032,3.844841,Bergy bit,Small
549,1130.505096,3.759752212,Bergy bit,Small
550,612.2128609,4.554656416,Bergy bit,Small
551,456.331708,4.094992019,Bergy bit,Small
552,518.3596414,4.708304588,Bergy bit,Small
553,493376.9738,49.46259561,Large,Very large
554,578.0604299,3.458057608,Bergy bit,Small
555,44.29424703,3.262992217,Bergy bit,Bergy bit
556,125157.5718,42.37711904,Medium,Very large
557,1048.390762,4.4711823,Bergy bit,Small
